run,seed,AUDC
0,42,0.36572078833954763
1,43,0.37787516343034216
2,44,0.3930560263425498
3,45,0.4011428018013654
4,46,0.364316497990412
5,47,0.41056123190160265
6,48,0.392426516875696
7,49,0.4129582102561617
8,50,0.4049682824076315
9,51,0.390610624182848
