run,seed,AUDC
0,42,0.4603387050960196
1,43,0.45592448952014497
2,44,0.4595362040136086
3,45,0.44938314049100553
4,46,0.45892766367390997
5,47,0.4492351420095985
6,48,0.45479106015632675
7,49,0.45887158971511693
8,50,0.45101755850306463
9,51,0.45245433879150543
