fao_trade_multiplex,celegans_connectome_multiplex,fb-tw,homo_genetic_multiplex,sacchpomb_genetic_multiplex,Sanremo2016_final_multiplex
0,1,437.0908706188202,3,4,5
6,7,0.33029216371022163,9,10,11
